iter	RMSE
0	15.81833867
1	15.20993671
2	14.70971861
3	14.14176464
4	13.64239955
5	12.89606548
6	12.35752322
7	11.79920606
8	11.31028878
9	10.78865927
10	10.31810103
11	9.79455981
12	9.440080886
13	9.172167331
14	8.855871321
15	8.48089623
16	8.134361142
17	7.738961825
18	7.337259805
19	7.033269527
20	6.851040588
21	6.595979639
22	6.4116242
23	6.078844593
24	5.79135344
25	5.632850208
26	5.428185048
27	5.182289446
28	4.988955916
29	4.783093119
30	4.621928956
31	4.469515048
32	4.340657165
33	4.187743883
34	3.991059589
35	3.868021897
36	3.704195859
37	3.535155834
38	3.446305015
39	3.295688583
40	3.149407667
41	3.031650725
42	2.895847565
43	2.792962288
44	2.679242475
45	2.608344734
46	2.507319179
47	2.412491199
48	2.324634682
49	2.236790884
50	2.154213188
51	2.077998537
52	2.00242648
53	1.950451215
54	1.887213785
55	1.82184042
56	1.774107071
57	1.729234978
58	1.676371187
59	1.633447641
60	1.592611449
61	1.552496711
62	1.513487749
63	1.475844426
64	1.438066019
65	1.401846425
66	1.366488033
67	1.331979005
68	1.29867953
69	1.265886945
70	1.234239771
71	1.203080038
72	1.172790103
73	1.143632553
74	1.115041739
75	1.0869717
76	1.059993233
77	1.033493402
78	1.007656067
79	0.9824646647
80	0.9579030477
81	0.9339554711
82	0.910606584
83	0.8878414191
84	0.8656453833
85	0.8440042484
86	0.8229041418
87	0.802331538
88	0.7822732492
89	0.7627164177
90	0.743648507
91	0.725057294
92	0.7069308614
93	0.6892575896
94	0.6720261496
95	0.6552254956
96	0.638844858
97	0.6228737363
98	0.6073018927
99	0.5921193451
