iter	Passed	Remaining
0	0	82
1	3	152
2	4	142
3	5	124
4	7	141
5	7	122
6	9	120
7	9	107
8	9	99
9	11	100
10	11	95
11	12	89
12	16	110
13	24	151
14	26	152
15	27	144
16	28	140
17	29	132
18	29	126
19	30	120
20	31	118
21	33	119
22	37	126
23	38	121
24	38	116
25	42	121
26	44	119
27	48	123
28	49	120
29	49	116
30	49	111
31	50	107
32	54	111
33	55	107
34	55	103
35	58	103
36	58	100
37	59	96
38	67	104
39	67	101
40	68	99
41	69	96
42	70	92
43	70	90
44	71	87
45	75	88
46	76	86
47	76	83
48	79	82
49	79	79
50	81	77
51	81	75
52	82	73
53	87	74
54	89	73
55	90	71
56	92	70
57	96	70
58	97	67
59	98	65
60	101	64
61	102	62
62	104	61
63	105	59
64	106	57
65	107	55
66	110	54
67	112	52
68	114	51
69	116	50
70	120	49
71	123	47
72	124	46
73	125	44
74	127	42
75	129	40
76	130	38
77	132	37
78	134	35
79	137	34
80	139	32
81	141	31
82	144	29
83	147	28
84	149	26
85	151	24
86	153	22
87	155	21
88	158	19
89	160	17
90	162	16
91	164	14
92	167	12
93	169	10
94	171	9
95	173	7
96	175	5
97	178	3
98	181	1
99	183	0
